,experiment,dim,num_of_samples,type,prox_pt_time,sgd_time
1038,7,200,1000,L2-LogReg,1.3410482770000272,0.009473209999896426
1039,7,200,1000,L2-LogReg,1.0717283409999254,0.008949195000013788
1040,7,200,1500,L2-LS,0.7512975780000488,0.012785510999947292
1041,7,200,1500,L1-LS,1.2378067610000016,0.012504827999919144
1042,7,200,1500,L2-LogReg,2.1614078439999957,0.013434850000066945
1043,7,200,1500,L2-LogReg,1.6046584099999563,0.013138137999931132
1044,7,200,2000,L2-LS,1.0141377170000396,0.0174175039999227
1045,7,200,2000,L1-LS,1.6753557179999916,0.01653783899996597
1046,7,200,2000,L2-LogReg,2.9304560529999435,0.019194494999965173
1047,7,200,2000,L2-LogReg,2.1777371860000585,0.01759144900006504
1048,7,200,2500,L2-LS,1.2812718820000555,0.021070092999934786
1049,7,200,2500,L1-LS,2.119105505000107,0.021261831999936476
1050,7,200,2500,L2-LogReg,3.7556910650000646,0.022406219000004057
1051,7,200,2500,L2-LogReg,2.6786381660001553,0.022297399000080986
1052,7,200,3000,L2-LS,1.5076295510000364,0.02656264999995983
1053,7,200,3000,L1-LS,2.540464810000003,0.026411316000121587
1054,7,200,3000,L2-LogReg,2.3870097129999976,0.027211203999968347
1055,7,200,3000,L2-LogReg,3.198688445000016,0.02671684599999935
1056,7,300,500,L2-LS,0.24806677399988075,0.004711147000080018
1057,7,300,500,L1-LS,0.4187675759999365,0.0046174389999578125
1058,7,300,500,L2-LogReg,0.7303317470000366,0.005244634000064252
1059,7,300,500,L2-LogReg,0.499108557999989,0.005731243999889557
1060,7,300,1000,L2-LS,0.5008821280000575,0.009192308999899979
1061,7,300,1000,L1-LS,0.845401197000001,0.010738200999867331
1062,7,300,1000,L2-LogReg,1.4654203770001004,0.010700993999989805
1063,7,300,1000,L2-LogReg,1.0711438280000039,0.010684580999850368
1064,7,300,1500,L2-LS,0.7810426140001709,0.012666564000028302
1065,7,300,1500,L1-LS,1.3540308379999715,0.014099703000056252
1066,7,300,1500,L2-LogReg,2.4240023510001265,0.01400594100005037
1067,7,300,1500,L2-LogReg,1.6778631269999096,0.01469350399997893
1068,7,300,2000,L2-LS,1.0867113420001715,0.01789025900006891
1069,7,300,2000,L1-LS,1.856350177000195,0.018179748999955336
1070,7,300,2000,L2-LogReg,3.389861199000052,0.023483019999957833
1071,7,300,2000,L2-LogReg,2.219862983999974,0.017875016999823856
1072,7,300,2500,L2-LS,1.2339249630001632,0.02191706600001453
1073,7,300,2500,L1-LS,2.089374325000108,0.021924463000004835
1074,7,300,2500,L2-LogReg,3.771858168000108,0.02277271599996311
1075,7,300,2500,L2-LogReg,2.669051038000134,0.021945833000017956
1076,7,300,3000,L2-LS,1.5212055570000302,0.026069017000054373
1077,7,300,3000,L1-LS,2.54397727200012,0.024482432000013432
1078,7,300,3000,L2-LogReg,4.609658137999986,0.02738407200013171
1079,7,300,3000,L2-LogReg,3.2057360939998034,0.028184935999888694
1080,7,400,500,L2-LS,0.24805000499986818,0.004750229000137551
1081,7,400,500,L1-LS,0.39934857999992346,0.005041445999950156
1082,7,400,500,L2-LogReg,0.7459103879998565,0.00511839399996461
1083,7,400,500,L2-LogReg,0.4888291869999648,0.005055249999941225
1084,7,400,1000,L2-LS,0.49276108099979865,0.00918196300017371
1085,7,400,1000,L1-LS,0.8548532930001329,0.008978310999964378
1086,7,400,1000,L2-LogReg,1.503937317000009,0.010409969999955138
1087,7,400,1000,L2-LogReg,1.0195283849998305,0.009187699999984034
1088,7,400,1500,L2-LS,0.75136657500002,0.013082941999982722
1089,7,400,1500,L1-LS,1.2658638360001078,0.014451662000055876
1090,7,400,1500,L2-LogReg,2.290697148999925,0.01451565499996832
1091,7,400,1500,L2-LogReg,1.5611468829999922,0.013904134000085833
