,experiment,algorithm,step size,loss
517,7,SGD,41.011270705513,2.0238339948644577
518,7,proximal point,51.248058769609315,0.020990753545381876
519,7,SGD,51.248058769609315,5.769970229481148e+18
520,7,proximal point,64.04004271197276,0.020824506946372844
521,7,SGD,64.04004271197276,inf
522,7,proximal point,80.02502278161052,0.020699494517978395
523,7,SGD,80.02502278161052,
524,7,proximal point,100.0,0.020629742876682063
525,7,SGD,100.0,
526,7,proximal point,114.37171936035156,0.02058234478865613
527,7,SGD,114.37171936035156,
528,8,proximal point,0.1,0.02225779906083042
529,8,SGD,0.1,0.022257801103770545
530,8,proximal point,0.1249609141291987,0.02225780089503033
531,8,SGD,0.1249609141291987,0.022257800926050366
532,8,proximal point,0.15615230060004973,0.022257800893212967
533,8,SGD,0.15615230060004973,0.02225780092673431
534,8,proximal point,0.19512934226359632,0.022257800890900476
535,8,SGD,0.19512934226359632,0.022257800925490845
536,8,proximal point,0.24383540982688284,0.02225780088794451
537,8,SGD,0.24383540982688284,0.02225780092332643
538,8,proximal point,0.30469895709035083,0.022257800884143402
539,8,SGD,0.30469895709035083,0.022257800919310285
540,8,proximal point,0.3807546021222372,0.022257800879231113
541,8,SGD,0.3807546021222372,0.02225780091150136
542,8,proximal point,0.475794431400941,0.022257800872808275
543,8,SGD,0.475794431400941,0.022257800906416377
544,8,proximal point,0.5945570708544391,0.022257800864331347
545,8,SGD,0.5945570708544391,0.02225780089425225
546,8,proximal point,0.7429639507594948,0.022257800852968784
547,8,SGD,0.7429639507594948,0.02225780087236544
548,8,proximal point,0.9284145445194745,0.022257800837483303
549,8,SGD,0.9284145445194745,0.022257800845909698
