,repetition,step size,type,algorithm,loss
385,3,0.04175318777561188,Least squares,gradient,279.87106005554085
386,3,0.04175318777561188,Logistic regression,proximal point,0.3773785329240895
387,3,0.04175318777561188,Logistic regression,gradient,0.6581702012002468
388,3,0.05298316851258278,Least squares,proximal point,7.955425560889921
389,3,0.05298316851258278,Least squares,gradient,213.7714711958134
390,3,0.05298316851258278,Logistic regression,proximal point,0.34938695848610957
391,3,0.05298316851258278,Logistic regression,gradient,0.6407617870092392
392,3,0.06723357737064362,Least squares,proximal point,7.094007248813297
393,3,0.06723357737064362,Least squares,gradient,148.33075387970874
394,3,0.06723357737064362,Logistic regression,proximal point,0.3237185776790858
395,3,0.06723357737064362,Logistic regression,gradient,0.6131463676601648
396,3,0.08531678467988968,Least squares,proximal point,6.269318419515044
397,3,0.08531678467988968,Least squares,gradient,86.26260240603364
398,3,0.08531678467988968,Logistic regression,proximal point,0.2995643589771982
399,3,0.08531678467988968,Logistic regression,gradient,0.5757005612999201
400,3,0.10826367139816284,Least squares,proximal point,5.690850391455953
401,3,0.10826367139816284,Least squares,gradient,42.896921503652486
402,3,0.10826367139816284,Logistic regression,proximal point,0.2772230188344375
403,3,0.10826367139816284,Logistic regression,gradient,0.5278222603846341
404,3,0.137382373213768,Least squares,proximal point,5.282902988136179
405,3,0.137382373213768,Least squares,gradient,20.083613330615155
406,3,0.137382373213768,Logistic regression,proximal point,0.2567490062863921
407,3,0.137382373213768,Logistic regression,gradient,0.47182191515974703
408,3,0.1743328869342804,Least squares,proximal point,4.994673445913723
409,3,0.1743328869342804,Least squares,gradient,10.44059309530452
410,3,0.1743328869342804,Logistic regression,proximal point,0.2381340262861073
411,3,0.1743328869342804,Logistic regression,gradient,0.4120958326577209
412,3,0.22122162580490112,Least squares,proximal point,4.993975979906865
413,3,0.22122162580490112,Least squares,gradient,8.213197757753907
414,3,0.22122162580490112,Logistic regression,proximal point,0.2235478831517916
415,3,0.22122162580490112,Logistic regression,gradient,0.3540128823757637
416,3,0.28072163462638855,Least squares,proximal point,4.680782506023467
417,3,0.28072163462638855,Least squares,gradient,14.422177552906467
418,3,0.28072163462638855,Logistic regression,proximal point,0.20712864016416452
419,3,0.28072163462638855,Logistic regression,gradient,0.2992368631307545
420,3,0.35622477531433105,Least squares,proximal point,4.4174904259881504
421,3,0.35622477531433105,Least squares,gradient,77.06320479487567
422,3,0.35622477531433105,Logistic regression,proximal point,0.19199572514762203
423,3,0.35622477531433105,Logistic regression,gradient,0.25069869302128456
424,3,0.4520353674888611,Least squares,proximal point,4.4594547667375775
425,3,0.4520353674888611,Least squares,gradient,37908.4710058186
426,3,0.4520353674888611,Logistic regression,proximal point,0.18329474426393944
427,3,0.4520353674888611,Logistic regression,gradient,0.21094892131576318
428,3,0.5736152529716492,Least squares,proximal point,4.399429404006306
429,3,0.5736152529716492,Least squares,gradient,288156580589.3025
430,3,0.5736152529716492,Logistic regression,proximal point,0.17275290062162998
431,3,0.5736152529716492,Logistic regression,gradient,0.17979144535254404
432,3,0.7278953790664673,Least squares,proximal point,4.3584690448582775
433,3,0.7278953790664673,Least squares,gradient,1.709021375244603e+26
434,3,0.7278953790664673,Logistic regression,proximal point,0.16356675978639434
435,3,0.7278953790664673,Logistic regression,gradient,0.16025614425788987
436,3,0.9236708283424377,Least squares,proximal point,4.3309376273598765
437,3,0.9236708283424377,Least squares,gradient,inf
438,3,0.9236708283424377,Logistic regression,proximal point,0.1556397844781477
439,3,0.9236708283424377,Logistic regression,gradient,0.16174244532672769
440,3,1.1721023321151733,Least squares,proximal point,4.312745300436952
441,3,1.1721023321151733,Least squares,gradient,
442,3,1.1721023321151733,Logistic regression,proximal point,0.14887934183473586
443,3,1.1721023321151733,Logistic regression,gradient,0.19655313099802504
444,3,1.4873521327972412,Least squares,proximal point,4.357408339991349
445,3,1.4873521327972412,Least squares,gradient,
