,repetition,step size,batch size,type,algorithm,loss
196,0,0.018873918801546097,32,Logistic regression,proximal point,0.019872891372442244
197,0,0.018873918801546097,32,Logistic regression,gradient,0.021656127816438674
198,0,0.025929437950253487,8,Logistic regression,proximal point,0.06974834216237068
199,0,0.025929437950253487,8,Logistic regression,gradient,0.08604412587285042
200,0,0.025929437950253487,16,Logistic regression,proximal point,0.036788864877820016
201,0,0.025929437950253487,16,Logistic regression,gradient,0.0431068941116333
202,0,0.025929437950253487,32,Logistic regression,proximal point,0.019248979443311692
203,0,0.025929437950253487,32,Logistic regression,gradient,0.021621856182813644
204,0,0.035622477531433105,8,Logistic regression,proximal point,0.06518474845588207
205,0,0.035622477531433105,8,Logistic regression,gradient,0.08550280275940896
206,0,0.035622477531433105,16,Logistic regression,proximal point,0.034946960011124614
207,0,0.035622477531433105,16,Logistic regression,gradient,0.042913530325889584
208,0,0.035622477531433105,32,Logistic regression,proximal point,0.018583471125364303
209,0,0.035622477531433105,32,Logistic regression,gradient,0.021556050688028336
210,0,0.04893900826573372,8,Logistic regression,proximal point,0.06111918205320835
211,0,0.04893900826573372,8,Logistic regression,gradient,0.08455639378428459
212,0,0.04893900826573372,16,Logistic regression,proximal point,0.032974357968568804
213,0,0.04893900826573372,16,Logistic regression,gradient,0.04256874982118607
214,0,0.04893900826573372,32,Logistic regression,proximal point,0.017651128327846526
215,0,0.04893900826573372,32,Logistic regression,gradient,0.021436046981811525
216,0,0.06723357737064362,8,Logistic regression,proximal point,0.055813040478527545
217,0,0.06723357737064362,8,Logistic regression,gradient,0.0827500108897686
218,0,0.06723357737064362,16,Logistic regression,proximal point,0.030636153495311735
219,0,0.06723357737064362,16,Logistic regression,gradient,0.04191146719455719
220,0,0.06723357737064362,32,Logistic regression,proximal point,0.016731016778945923
221,0,0.06723357737064362,32,Logistic regression,gradient,0.02120895130634308
222,0,0.09236708283424377,8,Logistic regression,proximal point,0.05153619358837604
223,0,0.09236708283424377,8,Logistic regression,gradient,0.07976930179595947
224,0,0.09236708283424377,16,Logistic regression,proximal point,0.02834257993400097
225,0,0.09236708283424377,16,Logistic regression,gradient,0.04078650246858597
226,0,0.09236708283424377,32,Logistic regression,proximal point,0.015525136747956275
