,experiment,dim,num_of_samples,prox_pt_time,sgd_time,sgd_batch_size
833,15,3000,1000,5.002281183999969,0.03589781200003017,32
834,15,3000,1000,5.007619897999973,0.5927462129999981,1
835,15,3000,1000,4.98522307799999,0.057120223000026726,16
836,15,3000,1000,4.783542039999986,0.04217264700002943,32
837,15,3000,2000,9.505481024999995,1.2832229809999944,1
838,15,3000,2000,9.644876298000042,0.12987698899996758,16
839,15,3000,2000,9.760557702000028,0.08315813199999411,32
840,15,3000,2500,12.474669909999989,1.60026999899992,1
841,15,3000,2500,12.561895778000007,0.13265261699996245,16
842,15,3000,2500,12.53011519200004,0.08159125499992115,32
843,15,3000,3000,14.823231438999983,1.6756693480000422,1
844,15,3000,3000,14.771786360000078,0.17754126899990297,16
845,15,3000,3000,14.812898676000032,0.09960112100009155,32
846,15,6000,500,2.337111995999976,0.3183214680000219,1
847,15,6000,500,2.3519472199999427,0.038180431999990105,16
848,15,6000,500,2.369949034000001,0.019017988999962654,32
849,15,6000,1000,4.982110906999992,0.6591301659999544,1
850,15,6000,1000,5.086854013999982,0.07006006400001752,16
851,15,6000,1000,5.11003121400006,0.044372498000029736,32
852,15,6000,1000,5.21895810500007,0.7386057919999303,1
853,15,6000,1000,5.3647329080000645,0.06606119399998533,16
854,15,6000,1000,5.446047408000027,0.045405346000052305,32
855,15,6000,2000,10.018402610999942,0.9031696680000323,1
856,15,6000,2000,9.554956742000059,0.06626275799999348,16
857,15,6000,2000,9.00569662700002,0.04415497200000118,32
858,15,6000,2500,10.009311350999951,0.8824911450000172,1
859,15,6000,2500,10.014473983000016,0.0831353119999676,16
860,15,6000,2500,9.841000467999947,0.054571119999991424,32
861,15,6000,3000,10.872755894999955,1.0523375559999977,1
862,15,6000,3000,10.498774421999997,0.10420190899992576,16
863,15,6000,3000,10.047182244000055,0.06298363100006554,32
864,16,1000,500,2.68766855399997,0.38074786799995763,1
865,16,1000,500,2.7208538769999677,0.030893663999904675,16
866,16,1000,500,2.699595654999939,0.017106613999999354,32
867,16,1000,1000,5.230215999999928,0.6932124950000116,1
868,16,1000,1000,5.271972472000016,0.06024228499995843,16
869,16,1000,1000,5.31740868199995,0.033464554000033786,32
870,16,1000,1000,5.297104339000043,0.6862072070000522,1
871,16,1000,1000,5.249293455000043,0.05941648299994995,16
872,16,1000,1000,5.283106386999975,0.032537242999978844,32
873,16,1000,2000,10.327966791999984,1.1971215689999326,1
874,16,1000,2000,10.272018671999945,0.10481177899998784,16
875,16,1000,2000,10.364903561000006,0.060507282000003215,32
876,16,1000,2500,12.58440805500004,1.8205450259999907,1
877,16,1000,2500,12.841011291000086,0.14886042600005567,16
878,16,1000,2500,12.549186894000059,0.09555502200009869,32
879,16,1000,3000,15.254571487000021,1.9871032989999549,1
880,16,1000,3000,15.136522226000011,0.148610868999981,16
881,16,1000,3000,15.173531950999973,0.09600875300009193,32
882,16,3000,500,2.618983954999976,0.3441549760000271,1
883,16,3000,500,2.700821331000043,0.03318578699997943,16
884,16,3000,500,2.6867326199999297,0.021961168999951042,32
885,16,3000,1000,5.136733983999989,0.613821168999948,1
886,16,3000,1000,5.14550649499995,0.05274084999996376,16
887,16,3000,1000,5.039222554999924,0.03515550700001313,32
888,16,3000,1000,5.086162545999969,0.6057911970000305,1
