,experiment,dim,num_of_samples,type,prox_pt_time,sgd_time,sgd_batch_size
352,3,1000,2500,L2-LS,1.39059273700002,0.04861413300000095,16
353,3,1000,2500,L1-LS,3.1133009680000043,0.04918768599998202,16
354,3,1000,2500,L2-LogReg,4.408233384999988,0.04805710200000135,16
355,3,1000,2500,L1-LogReg,3.4479485170000146,0.05376170900001398,16
356,3,1000,2500,L2-LS,1.3286712109999996,0.02972244900001897,32
357,3,1000,2500,L1-LS,2.998799966000007,0.028847905000020546,32
358,3,1000,2500,L2-LogReg,4.41387062299998,0.03340353000001528,32
359,3,1000,2500,L1-LogReg,3.4757702390000134,0.03081029500000909,32
360,3,5000,500,L2-LS,0.30580052600001295,0.12530095200000346,1
361,3,5000,500,L1-LS,0.46240845100001593,0.12316832299998737,1
362,3,5000,500,L2-LogReg,1.0284175460000142,0.12497408199999427,1
