,experiment,dim,num_of_samples,type,prox_pt_time,sgd_time
189,2,4000,25000,Logistic regression,1.758726958000011,0.25288982600000054
190,2,4000,30000,Least squares,1.0272027279999634,0.29832617400001027
191,2,4000,30000,Logistic regression,2.1235791560000052,0.3065161069999931
192,2,5000,5000,Least squares,0.18040512600003922,0.05657858600000054
193,2,5000,5000,Logistic regression,0.35496206999999913,0.05381962799998519
194,2,5000,10000,Least squares,0.3476154249999581,0.1036966479999819
195,2,5000,10000,Logistic regression,0.7073864540000159,0.11106313300001602
196,2,5000,15000,Least squares,0.5226854939999726,0.15128843099995493
197,2,5000,15000,Logistic regression,1.0714859839999917,0.15734357200000204
198,2,5000,20000,Least squares,0.7037949309999476,0.2037136069999974
199,2,5000,20000,Logistic regression,1.4522204049999914,0.21440864599998122
200,2,5000,25000,Least squares,0.8737751180000259,0.30620557900004997
201,2,5000,25000,Logistic regression,1.86376170799997,0.27559872299997323
202,2,5000,30000,Least squares,1.0698512810000125,0.3307428720000303
203,2,5000,30000,Logistic regression,2.208768039000006,0.3203539940000155
204,2,6000,5000,Least squares,0.18179876499999637,0.05342716199999131
205,2,6000,5000,Logistic regression,0.36018642499999487,0.05542874100001427
206,2,6000,10000,Least squares,0.3665456300000187,0.10643117299997584
207,2,6000,10000,Logistic regression,0.7349472799999717,0.11733352999999624
208,2,6000,15000,Least squares,0.5509731949999832,0.17007297800000742
209,2,6000,15000,Logistic regression,1.1102313410000306,0.16503787600004216
210,2,6000,20000,Least squares,0.7292909350000514,0.2210059939999951
211,2,6000,20000,Logistic regression,1.479937250999967,0.22234962799996083
212,2,6000,25000,Least squares,0.9007429720000459,0.26196496900001875
213,2,6000,25000,Logistic regression,1.8554388219999964,0.2808093840000083
214,2,6000,30000,Least squares,1.0842181660000278,0.3130426649999549
215,2,6000,30000,Logistic regression,2.2562394189999964,0.3386973160000366
216,3,1000,5000,Least squares,0.16237672900001598,0.04085225899996203
217,3,1000,5000,Logistic regression,0.32803552000001446,0.043288858000039454
218,3,1000,10000,Least squares,0.3167738390000068,0.08284305200004383
219,3,1000,10000,Logistic regression,0.664765908999982,0.08966253100004451
220,3,1000,15000,Least squares,0.48491120500000306,0.12583626900004674
221,3,1000,15000,Logistic regression,1.0073902090000502,0.13112890399997923
222,3,1000,20000,Least squares,0.6343395109999506,0.16861891299998888
223,3,1000,20000,Logistic regression,1.327393470000004,0.1727024310000047
224,3,1000,25000,Least squares,0.7919660260000114,0.20403211599995075
225,3,1000,25000,Logistic regression,1.6580800849999946,0.2128343680000171
226,3,1000,30000,Least squares,0.9432996219999836,0.24034707599997773
227,3,1000,30000,Logistic regression,1.990768409999987,0.2645171990000108
228,3,2000,5000,Least squares,0.1576598719999538,0.0444936899999675
229,3,2000,5000,Logistic regression,0.33080430600000454,0.04682724299999563
230,3,2000,10000,Least squares,0.32246103500000345,0.08941140799998948
231,3,2000,10000,Logistic regression,0.6844537360000231,0.09966121599995859
232,3,2000,15000,Least squares,0.4799026300000264,0.13401458299995284
233,3,2000,15000,Logistic regression,1.0129063640000027,0.14379679900002884
234,3,2000,20000,Least squares,0.6248466000000121,0.17785249299998895
235,3,2000,20000,Logistic regression,1.350057306999986,0.18833966500000088
236,3,2000,25000,Least squares,0.8014190319999557,0.22338201200000185
237,3,2000,25000,Logistic regression,1.6926929059999907,0.233964799999967
238,3,2000,30000,Least squares,0.9557818170000019,0.26951365200000055
239,3,2000,30000,Logistic regression,2.029068891999998,0.28258057800002234
240,3,3000,5000,Least squares,0.1671986520000246,0.04703055900000663
241,3,3000,5000,Logistic regression,0.34117674700002,0.05190405399997644
242,3,3000,10000,Least squares,0.3265128890000142,0.0917101050000042
243,3,3000,10000,Logistic regression,0.6993508289999681,0.09874266700001044
244,3,3000,15000,Least squares,0.5300544490000334,0.142488410999988
245,3,3000,15000,Logistic regression,1.0397374409999998,0.14703688200000897
246,3,3000,20000,Least squares,0.6589099210000313,0.19021910200001457
247,3,3000,20000,Logistic regression,1.3993118679999839,0.2820505189999949
248,3,3000,25000,Least squares,0.829229029999965,0.2324255839999978
249,3,3000,25000,Logistic regression,1.7513472390000402,0.24190406200000325
250,3,3000,30000,Least squares,0.9921179680000023,0.2853539810000143
251,3,3000,30000,Logistic regression,2.0837633119999737,0.2943618909999941
252,3,4000,5000,Least squares,0.17009161099997527,0.051787954000019454
253,3,4000,5000,Logistic regression,0.3438800100000208,0.05197624499999165
254,3,4000,10000,Least squares,0.3432529330000307,0.10231318099999953
255,3,4000,10000,Logistic regression,0.7087224980000428,0.10708202799997935
256,3,4000,15000,Least squares,0.5162207410000406,0.1456907900000033
257,3,4000,15000,Logistic regression,1.073583104000022,0.15301770499996792
258,3,4000,20000,Least squares,0.7066680179999594,0.2059789400000227
259,3,4000,20000,Logistic regression,1.485184992000029,0.2143587720000255
260,3,4000,25000,Least squares,0.8902603010000121,0.26077876899995545
261,3,4000,25000,Logistic regression,1.8147622719999958,0.26490104300000894
262,3,4000,30000,Least squares,1.0363986599999748,0.29112088799996627
263,3,4000,30000,Logistic regression,2.145456080000031,0.31882725000002665
264,3,5000,5000,Least squares,0.18127984000000197,0.052791511999998875
265,3,5000,5000,Logistic regression,0.3779606479999984,0.05331172000001061
266,3,5000,10000,Least squares,0.3624111440000206,0.10369390699997894
267,3,5000,10000,Logistic regression,0.7260675919999926,0.10676868399997375
268,3,5000,15000,Least squares,0.5297765069999514,0.15594359199997143
269,3,5000,15000,Logistic regression,1.0752964409999777,0.16225807699998995
270,3,5000,20000,Least squares,0.7046340280000436,0.2129461950000291
271,3,5000,20000,Logistic regression,1.5055152229999749,0.21712537199999815
272,3,5000,25000,Least squares,0.8786364530000128,0.26081498000002057
273,3,5000,25000,Logistic regression,1.8006436350000286,0.26445458500000996
274,3,5000,30000,Least squares,1.046341118999976,0.30305535500002634
275,3,5000,30000,Logistic regression,2.1737327430000164,0.3167139299999917
276,3,6000,5000,Least squares,0.17644462699996666,0.05271799999997029
277,3,6000,5000,Logistic regression,0.3649457050000251,0.05679881599996861
278,3,6000,10000,Least squares,0.3759566250000148,0.11185509099999535
279,3,6000,10000,Logistic regression,0.748735025999963,0.11037267900002234
280,3,6000,15000,Least squares,0.5749784519999821,0.1605735840000193
281,3,6000,15000,Logistic regression,1.096308778999969,0.1726798700000245
282,3,6000,20000,Least squares,0.7344348530000389,0.23326832700001887
283,3,6000,20000,Logistic regression,1.460228131000008,0.21636567999996714
284,3,6000,25000,Least squares,0.8969259899999997,0.27749713000002885
285,3,6000,25000,Logistic regression,1.8160834750000276,0.274533091999956
286,3,6000,30000,Least squares,1.0780930390000094,0.3467854959999954
287,3,6000,30000,Logistic regression,2.1800749219999602,0.3443086739999899
288,4,1000,5000,Least squares,0.16058485899998232,0.04044443099996897
289,4,1000,5000,Logistic regression,0.3298122109999895,0.04279381999998577
290,4,1000,10000,Least squares,0.3073450890000231,0.08779366899995011
291,4,1000,10000,Logistic regression,0.6555391090000171,0.08624353400000473
292,4,1000,15000,Least squares,0.46595963700002585,0.12203251599999021
293,4,1000,15000,Logistic regression,0.9840969370000039,0.1283682229999954
294,4,1000,20000,Least squares,0.6177146100000073,0.1656979430000547
295,4,1000,20000,Logistic regression,1.3210748680000393,0.17216978499999414
296,4,1000,25000,Least squares,0.77709338599999,0.2058258339999952
297,4,1000,25000,Logistic regression,1.6685709320000228,0.2205302050000455
298,4,1000,30000,Least squares,0.9399257780000312,0.24626110299999482
299,4,1000,30000,Logistic regression,2.0877488849999963,0.29429240399997525
300,4,2000,5000,Least squares,0.1731359080000061,0.047940695000022515
301,4,2000,5000,Logistic regression,0.4027098500000079,0.05371015200000784
302,4,2000,10000,Least squares,0.39745682599999554,0.10334399300000996
303,4,2000,10000,Logistic regression,0.8094051990000253,0.11813850200002207
304,4,2000,15000,Least squares,0.5468857319999643,0.1510922520000122
305,4,2000,15000,Logistic regression,1.147091646999968,0.1428310329999931
306,4,2000,20000,Least squares,0.6417573539999921,0.18315758099998902
307,4,2000,20000,Logistic regression,1.361118979999958,0.1923648769999886
308,4,2000,25000,Least squares,0.8041314789999774,0.22763219600000184
309,4,2000,25000,Logistic regression,1.7179569220000417,0.24583506999999827
310,4,2000,30000,Least squares,0.9676272629999971,0.2742145860000278
311,4,2000,30000,Logistic regression,2.05546092000003,0.28738555799998267
312,4,3000,5000,Least squares,0.16515898299996934,0.04809988900001372
313,4,3000,5000,Logistic regression,0.3494329189999803,0.049911516999998184
314,4,3000,10000,Least squares,0.3414728220000143,0.09673217499999964
315,4,3000,10000,Logistic regression,0.7057931030000191,0.09855332200004341
316,4,3000,15000,Least squares,0.507472268000015,0.1383631670000227
317,4,3000,15000,Logistic regression,1.042812180999988,0.1479140080000434
318,4,3000,20000,Least squares,0.6698663199999828,0.1925237859999811
319,4,3000,20000,Logistic regression,1.401245299999971,0.1973775719999935
320,4,3000,25000,Least squares,0.8320079530000157,0.23585486899997932
321,4,3000,25000,Logistic regression,1.740252718000022,0.24564969599998676
322,4,3000,30000,Least squares,0.9974752299999636,0.28467092899995805
323,4,3000,30000,Logistic regression,2.0931089029999725,0.2935135010000067
324,4,4000,5000,Least squares,0.16922121300001436,0.05260337400000026
325,4,4000,5000,Logistic regression,0.3530654510000204,0.053420343000027515
326,4,4000,10000,Least squares,0.34260181300004433,0.10281116200002316
327,4,4000,10000,Logistic regression,0.7029281529999594,0.10518562400000064
328,4,4000,15000,Least squares,0.5224481019999985,0.15037100000000692
329,4,4000,15000,Logistic regression,1.0549042019999888,0.15718362800004115
330,4,4000,20000,Least squares,0.6814957809999669,0.19948612400003185
331,4,4000,20000,Logistic regression,1.4243155329999695,0.20660248000001502
332,4,4000,25000,Least squares,0.8615670830000113,0.25096187599996256
333,4,4000,25000,Logistic regression,1.7984161660000382,0.2580616989999953
334,4,4000,30000,Least squares,1.012577173000011,0.2950624479999533
335,4,4000,30000,Logistic regression,2.151183653999965,0.30406176200000345
336,4,5000,5000,Least squares,0.17960028200002398,0.05275431600000502
337,4,5000,5000,Logistic regression,0.36180418000003556,0.05465099899998904
338,4,5000,10000,Least squares,0.35170367699998906,0.10018190199997434
339,4,5000,10000,Logistic regression,0.7188107189999755,0.10499245900001597
340,4,5000,15000,Least squares,0.5286415310000052,0.15131631200000584
341,4,5000,15000,Logistic regression,1.0990854920000288,0.16439919499998723
342,4,5000,20000,Least squares,0.7090837729999748,0.20119579499998963
343,4,5000,20000,Logistic regression,1.4335578769999984,0.20874933499999315
344,4,5000,25000,Least squares,0.8926499329999729,0.2556939770000213
345,4,5000,25000,Logistic regression,1.7917542899999717,0.2716724539999973
346,4,5000,30000,Least squares,1.0980972829999587,0.30987628099995845
347,4,5000,30000,Logistic regression,2.1408255100000133,0.3199223449999522
348,4,6000,5000,Least squares,0.1827837650000106,0.05361120100002381
349,4,6000,5000,Logistic regression,0.3609542159999819,0.05589872299998433
350,4,6000,10000,Least squares,0.363641838000035,0.10876802000001362
351,4,6000,10000,Logistic regression,0.7316086659999996,0.11141097600000194
352,4,6000,15000,Least squares,0.5436665820000144,0.16066171500000337
353,4,6000,15000,Logistic regression,1.096909793000009,0.1699854750000327
354,4,6000,20000,Least squares,0.7084632759999749,0.22589928299998974
355,4,6000,20000,Logistic regression,1.4620548199999917,0.22293916799998215
356,4,6000,25000,Least squares,0.8916663300000209,0.2701256860000285
357,4,6000,25000,Logistic regression,1.8126329549999696,0.2770642600000315
358,4,6000,30000,Least squares,1.096568832999992,0.3207597940000255
359,4,6000,30000,Logistic regression,2.192560728999979,0.33911211899999216
360,5,1000,5000,Least squares,0.16610718900000165,0.04094038099998443
361,5,1000,5000,Logistic regression,0.32306808200002024,0.04274213500002588
362,5,1000,10000,Least squares,0.311154676000001,0.08145598100003326
363,5,1000,10000,Logistic regression,0.649741419999998,0.08560729199996331
364,5,1000,15000,Least squares,0.46502908299999035,0.12198415399996065
365,5,1000,15000,Logistic regression,0.9901313029999983,0.12751004799997645
