algo,exp,eta_zero,loss
Proximal Point,4,0.4281332492828369,0.400598445547876
FTRL,4,0.615848183631897,0.43821343982592226
Tight prox FTRL,4,0.615848183631897,0.42529063248074184
Prox FTRL,4,0.615848183631897,0.4253672875014476
AdaHedge FTRL,4,0.615848183631897,0.3734556575263671
Proximal Point,4,0.615848183631897,0.3869284250162589
FTRL,4,0.8858667612075806,0.4310265439897776
Tight prox FTRL,4,0.8858667612075806,0.4079304215396688
Prox FTRL,4,0.8858667612075806,0.4080152114004597
AdaHedge FTRL,4,0.8858667612075806,0.37183986630549376
Proximal Point,4,0.8858667612075806,0.3774290618531732
FTRL,4,1.2742749452590942,0.43523137835785747
Tight prox FTRL,4,1.2742749452590942,0.39408032726216186
Prox FTRL,4,1.2742749452590942,0.39417108789305066
AdaHedge FTRL,4,1.2742749452590942,0.3707175791669379
Proximal Point,4,1.2742749452590942,0.3716679501961022
FTRL,4,1.832980751991272,0.45567298717424276
Tight prox FTRL,4,1.832980751991272,0.3838540722560388
Prox FTRL,4,1.832980751991272,0.38394849033865674
AdaHedge FTRL,4,1.832980751991272,0.3699948898696591
Proximal Point,4,1.832980751991272,0.36855272260280875
FTRL,4,2.636650800704956,0.4977803816571832
Tight prox FTRL,4,2.636650800704956,0.37690584993557474
Prox FTRL,4,2.636650800704956,0.37700147565397285
AdaHedge FTRL,4,2.636650800704956,0.3695997384544341
Proximal Point,4,2.636650800704956,0.36699729566255207
FTRL,4,3.7926902770996094,0.567547798100859
Tight prox FTRL,4,3.7926902770996094,0.37257579771240484
Prox FTRL,4,3.7926902770996094,0.3726702844228848
AdaHedge FTRL,4,3.7926902770996094,0.36947807184581477
Proximal Point,4,3.7926902770996094,0.36631781851644263
FTRL,4,5.455595016479492,0.6720077301561832
Tight prox FTRL,4,5.455595016479492,0.3701576509511645
Prox FTRL,4,5.455595016479492,0.37024949413515684
AdaHedge FTRL,4,5.455595016479492,0.36958947111945784
Proximal Point,4,5.455595016479492,0.3661910319922753
FTRL,4,7.847599506378174,0.8199874864295125
Tight prox FTRL,4,7.847599506378174,0.369085447099575
Prox FTRL,4,7.847599506378174,0.3691733621245056
AdaHedge FTRL,4,7.847599506378174,0.3699090048113124
Proximal Point,4,7.847599506378174,0.36649343205793766
FTRL,4,11.288378715515137,1.0229871353805065
Tight prox FTRL,4,11.288378715515137,0.3689868773173273
Prox FTRL,4,11.288378715515137,0.36907039267472125
AdaHedge FTRL,4,11.288378715515137,0.3704343442850125
Proximal Point,4,11.288378715515137,0.36720366493500256
FTRL,4,16.237768173217773,1.2961506497710944
Tight prox FTRL,4,16.237768173217773,0.3696688837745406
Prox FTRL,4,16.237768173217773,0.3697484373570041
AdaHedge FTRL,4,16.237768173217773,0.37118532139591964
Proximal Point,4,16.237768173217773,0.368364830132392
FTRL,4,23.357213973999023,1.6595316187702118
Tight prox FTRL,4,23.357213973999023,0.37110179464121834
Prox FTRL,4,23.357213973999023,0.371177717661608
AdaHedge FTRL,4,23.357213973999023,0.372194941362201
Proximal Point,4,23.357213973999023,0.3700921649991012
FTRL,4,33.598182678222656,2.1401629893630743
Tight prox FTRL,4,33.598182678222656,0.37340983867792443
Prox FTRL,4,33.598182678222656,0.3734830477213999
AdaHedge FTRL,4,33.598182678222656,0.3735026146283953
Proximal Point,4,33.598182678222656,0.3725951594285931
FTRL,4,48.32930374145508,2.776305679023266
Tight prox FTRL,4,48.32930374145508,0.3768468665383224
Prox FTRL,4,48.32930374145508,0.3769173568531273
AdaHedge FTRL,4,48.32930374145508,0.3751586823571434
Proximal Point,4,48.32930374145508,0.3761773591683029
FTRL,4,69.51927947998047,3.6281157469302414
Tight prox FTRL,4,69.51927947998047,0.38174330182762606
Prox FTRL,4,69.51927947998047,0.38181063197984677
AdaHedge FTRL,4,69.51927947998047,0.37723085712634025
Proximal Point,4,69.51927947998047,0.3811958842961562
FTRL,4,100.0,4.8010217129290105
Tight prox FTRL,4,100.0,0.3884415205050425
Prox FTRL,4,100.0,0.3885035270873825
AdaHedge FTRL,4,100.0,0.3798200177869625
Proximal Point,4,100.0,0.38800377415626086
FTRL,5,0.10000000149011612,0.5483369259089231
Tight prox FTRL,5,0.10000000149011612,0.548179194518558
Prox FTRL,5,0.10000000149011612,0.5482034447928578
AdaHedge FTRL,5,0.10000000149011612,0.39312556504630514
Proximal Point,5,0.10000000149011612,0.4889609149550371
FTRL,5,0.14384499192237854,0.5210324799828231
Tight prox FTRL,5,0.14384499192237854,0.5202709751508625
Prox FTRL,5,0.14384499192237854,0.5203044182540472
AdaHedge FTRL,5,0.14384499192237854,0.3871948688363104
Proximal Point,5,0.14384499192237854,0.46278770835224775
